ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,840,Easy,65,1,0
2,867,Normal,66,1,0
3,894,Normal,68,1,0
4,921,Normal,69,1,0
5,948,Normal,71,1,0
6,974,Normal,72,1,0
7,1001,Normal,73,1,0
8,1028,Normal,75,1,0
9,1055,Normal,76,1,0
10,1082,Normal,77,1,0
11,1109,Normal,79,1,0
12,1136,Normal,80,1,0
13,1163,Normal,82,1,0
14,1190,Normal,83,1,0
15,1217,Normal,84,1,0
16,1243,Hard,86,1,0
17,1270,Hard,87,1,0
18,1297,Hard,88,1,0
19,1324,Hard,90,1,0
20,1351,Hard,91,1,0
21,1378,Hard,93,1,0
22,1405,HardCode,94,1,0
23,1432,HardCode,95,1,0
24,1459,HardCode,97,1,0
25,1486,HardCode,98,1,0
26,1512,HardCode,99,1,0
27,1539,HardCode,101,1,0
28,1566,HardCode,102,1,0
29,1620,HardCode,105,1,0
30,3575,HardCode,106,1,1
